============================================================
Downloading Complete Jastrow Dictionary from Sefaria
Using sequential traversal via "next" links
============================================================

Starting from: Jastrow, א
[12.5%] #3756: "Jastrow, בִּסְתְּקָא"... OK (בסתקא)
[12.5%] #3757: "Jastrow, בִּסְתַּרְקָא"... OK (בסתרקא)
[12.5%] #3758: "Jastrow, בְּעָא"... OK (בעא)
[12.5%] #3759: "Jastrow, בָּעָאתָא"... OK (בעאתא)
[12.5%] #3760: "Jastrow, בִּעְבּוּעַ"... OK (בעבוע)
[12.5%] #3761: "Jastrow, בִּעְבֵּעַ"... OK (בעבע)
[12.5%] #3762: "Jastrow, *בַּעְבַּע"... duplicate
[12.5%] #3762: "Jastrow, בעד"... OK (בעד)
[12.5%] #3763: "Jastrow, בָּעָה"... OK (בעה)
[12.5%] #3764: "Jastrow, בָּעוּ"... OK (בעו)
[12.5%] #3765: "Jastrow, בְּעוֹד"... OK (בעוד)
[12.6%] #3766: "Jastrow, בְּעוֹט"... OK (בעוט)
[12.6%] #3767: "Jastrow, בָּעוּר"... OK (בעור)
[12.6%] #3768: "Jastrow, בָּעוּתָא"... OK (בעותא)
[12.6%] #3769: "Jastrow, בָּעַט I"... OK (בעט)
[12.6%] #3770: "Jastrow, בָּעַט II"... duplicate
[12.6%] #3770: "Jastrow, בְּעַט"... duplicate
[12.6%] #3770: "Jastrow, בַּעֲטָן"... OK (בעטן)
[12.6%] #3771: "Jastrow, בעי"... OK (בעי)
[12.6%] #3772: "Jastrow, בְּעֵי I"... duplicate
[12.6%] #3772: "Jastrow, בְּעֵי II"... duplicate
[12.6%] #3772: "Jastrow, בַּעְיָא"... OK (בעיא)
[12.6%] #3773: "Jastrow, *בָּעְיָא"... duplicate
[12.6%] #3773: "Jastrow, בָּעְיָיא"... OK (בעייא)
[12.6%] #3774: "Jastrow, בֵּעַיָּיא"... duplicate
  [Saved progress: 3773 entries]
[12.6%] #3774: "Jastrow, בְּעֵיט"... OK (בעיט)
[12.6%] #3775: "Jastrow, בְּעִיטָא"... OK (בעיטא)
[12.6%] #3776: "Jastrow, בְּעִיטָה"... OK (בעיטה)
[12.6%] #3777: "Jastrow, בְּעֵיל"... OK (בעיל)
[12.6%] #3778: "Jastrow, בְּעִילָה"... OK (בעילה)
[12.6%] #3779: "Jastrow, בְּעִיץ I"... OK (בעיץ)
[12.6%] #3780: "Jastrow, *בְּעִיץ II"... duplicate
[12.6%] #3780: "Jastrow, בְּעֵיר"... OK (בעיר)
[12.6%] #3781: "Jastrow, בְּעִיר"... duplicate
[12.6%] #3781: "Jastrow, בְּעֵית"... OK (בעית)
[12.6%] #3782: "Jastrow, בָּעַל"... OK (בעל)
[12.6%] #3783: "Jastrow, בְּעַל"... duplicate
[12.6%] #3783: "Jastrow, בַּעַל"... duplicate
[12.6%] #3783: "Jastrow, בַּעֲלָא"... OK (בעלא)
[12.6%] #3784: "Jastrow, בַּעֲלָה"... OK (בעלה)
[12.6%] #3785: "Jastrow, בְּעַע"... OK (בעע)
[12.6%] #3786: "Jastrow, *בְּעַץ"... OK (בעץ)
[12.6%] #3787: "Jastrow, בַּעַץ"... duplicate
[12.6%] #3787: "Jastrow, בַּעֲצָא"... OK (בעצא)
[12.6%] #3788: "Jastrow, בָּעַר"... OK (בער)
[12.6%] #3789: "Jastrow, בְּעַר I"... duplicate
[12.6%] #3789: "Jastrow, *בְּעַר II"... duplicate
[12.6%] #3789: "Jastrow, בְּעֵרָה"... OK (בערה)
[12.6%] #3790: "Jastrow, בְּעַשׁ"... OK (בעש)
[12.6%] #3791: "Jastrow, בָּעַת"... OK (בעת)
[12.6%] #3792: "Jastrow, בְּעֵת"... duplicate
[12.6%] #3792: "Jastrow, בַּעֲתָא I"... OK (בעתא)
[12.6%] #3793: "Jastrow, בַּעֲתָא II"... duplicate
[12.6%] #3793: "Jastrow, בפה"... OK (בפה)
[12.6%] #3794: "Jastrow, בְּצָא"... OK (בצא)
[12.6%] #3795: "Jastrow, בִּצָּא"... duplicate
[12.6%] #3795: "Jastrow, בִּצְבּוּץ"... OK (בצבוץ)
[12.7%] #3796: "Jastrow, בִּצְבֵּץ"... OK (בצבץ)
[12.7%] #3797: "Jastrow, בַּצְבֵּץ"... duplicate
[12.7%] #3797: "Jastrow, בֵּצָה"... OK (בצה)
[12.7%] #3798: "Jastrow, בִּצָּה"... duplicate
[12.7%] #3798: "Jastrow, בְּצוֹצְטְרָא"... OK (בצוצטרא)
[12.7%] #3799: "Jastrow, בְּצוֹצְרָה"... OK (בצוצרה)
[12.7%] #3800: "Jastrow, בְּצוֹצְרִיּוֹת"... OK (בצוצריות)
[12.7%] #3801: "Jastrow, בַּצּוֹרֶת"... OK (בצורת)
[12.7%] #3802: "Jastrow, בַּצּוֹרְתָא"... OK (בצורתא)
[12.7%] #3803: "Jastrow, בְּצוּרְתָא"... duplicate
[12.7%] #3803: "Jastrow, בֵּצִים"... OK (בצים)
[12.7%] #3804: "Jastrow, בִּצִּים"... duplicate
[12.7%] #3804: "Jastrow, בָּצִיר I"... OK (בציר)
[12.7%] #3805: "Jastrow, בָּצִיר II"... duplicate
[12.7%] #3805: "Jastrow, בְּצִיר"... duplicate
[12.7%] #3805: "Jastrow, בַּצִּירָא"... OK (בצירא)
[12.7%] #3806: "Jastrow, בְּצִירָה"... OK (בצירה)
[12.7%] #3807: "Jastrow, בְּצִירְתָּא"... OK (בצירתא)
[12.7%] #3808: "Jastrow, בְּצַל"... OK (בצל)
[12.7%] #3809: "Jastrow, בָּצֵל"... duplicate
[12.7%] #3809: "Jastrow, בָּצְלָא"... OK (בצלא)
[12.7%] #3810: "Jastrow, בְּצַלְאֵל"... OK (בצלאל)
[12.7%] #3811: "Jastrow, בצלה"... OK (בצלה)
[12.7%] #3812: "Jastrow, בְּצָלִים"... OK (בצלים)
[12.7%] #3813: "Jastrow, בְּצַלְצוּל"... OK (בצלצול)
[12.7%] #3814: "Jastrow, בָּצַע"... OK (בצע)
[12.7%] #3815: "Jastrow, בְּצַע"... duplicate
[12.7%] #3815: "Jastrow, בִּצְעָה"... OK (בצעה)
[12.7%] #3816: "Jastrow, בָּצַץ"... OK (בצץ)
[12.7%] #3817: "Jastrow, בָּצֵק"... OK (בצק)
[12.7%] #3818: "Jastrow, בָּצַר"... OK (בצר)
[12.7%] #3819: "Jastrow, בָּצֵר"... duplicate
[12.7%] #3819: "Jastrow, בְּצַר"... duplicate
[12.7%] #3819: "Jastrow, בֶּצֶר"... duplicate
[12.7%] #3819: "Jastrow, בָּצְרָאָה"... OK (בצראה)
[12.7%] #3820: "Jastrow, *בֶּצֶת"... OK (בצת)
[12.7%] #3821: "Jastrow, בַּקָּא"... OK (בקא)
[12.7%] #3822: "Jastrow, בְּקָא"... duplicate
[12.7%] #3822: "Jastrow, בקוותא"... OK (בקוותא)
[12.7%] #3823: "Jastrow, בַּקּוֹלְסָא"... OK (בקולסא)
[12.7%] #3824: "Jastrow, בקורות"... OK (בקורות)
[12.7%] #3825: "Jastrow, בִּקּוֹרֶת"... OK (בקורת)
[12.8%] #3826: "Jastrow, בְּקִי"... OK (בקי)
[12.8%] #3827: "Jastrow, בָּקִי"... duplicate
[12.8%] #3827: "Jastrow, בִּקְיָא"... OK (בקיא)
[12.8%] #3828: "Jastrow, בְּקִיעַ I"... OK (בקיע)
[12.8%] #3829: "Jastrow, בְּקִיעַ II"... duplicate
[12.8%] #3829: "Jastrow, בְּקִיעָא"... OK (בקיעא)
[12.8%] #3830: "Jastrow, בְּקִיעָה"... OK (בקיעה)
[12.8%] #3831: "Jastrow, בְּקִיעִין"... OK (בקיעין)
[12.8%] #3832: "Jastrow, בְּקִיקָא"... OK (בקיקא)
[12.8%] #3833: "Jastrow, בקלאנין"... OK (בקלאנין)
[12.8%] #3834: "Jastrow, *בַּקְלָסָא"... OK (בקלסא)
[12.8%] #3835: "Jastrow, בָּקַע"... OK (בקע)
[12.8%] #3836: "Jastrow, בֶּקַע"... duplicate
[12.8%] #3836: "Jastrow, בִּקְעָא"... OK (בקעא)
[12.8%] #3837: "Jastrow, בִּקְעָה"... OK (בקעה)
[12.8%] #3838: "Jastrow, בקעי"... OK (בקעי)
[12.8%] #3839: "Jastrow, בְּקַעַת"... OK (בקעת)
[12.8%] #3840: "Jastrow, בְּקַעֲתָא"... OK (בקעתא)
[12.8%] #3841: "Jastrow, בַּקְעֲתָא"... duplicate
[12.8%] #3841: "Jastrow, בָּקַר"... OK (בקר)
[12.8%] #3842: "Jastrow, בְּקַר"... duplicate
[12.8%] #3842: "Jastrow, בֹּקֶר"... duplicate
[12.8%] #3842: "Jastrow, בָּקָר"... duplicate
[12.8%] #3842: "Jastrow, בַּקָּר"... duplicate
[12.8%] #3842: "Jastrow, בַּקָּרָא I"... OK (בקרא)
[12.8%] #3843: "Jastrow, *בַּקָּרָא II"... duplicate
  [Saved progress: 3842 entries]
[12.8%] #3843: "Jastrow, בַּקְרָא"... duplicate
[12.8%] #3843: "Jastrow, בַּקְרוּת"... OK (בקרות)
[12.8%] #3844: "Jastrow, בַּקְרוּתָא I"... OK (בקרותא)
[12.8%] #3845: "Jastrow, בַּקְרוּתָא II"... duplicate
[12.8%] #3845: "Jastrow, בַּקְרַת"... OK (בקרת)
[12.8%] #3846: "Jastrow, בָּקַשׁ"... OK (בקש)
[12.8%] #3847: "Jastrow, בַּקָּשָׁה"... OK (בקשה)
[12.8%] #3848: "Jastrow, בִּקְתָא"... OK (בקתא)
[12.8%] #3849: "Jastrow, בַּקְּתָא"... duplicate
[12.8%] #3849: "Jastrow, בַּר I"... OK (בר)
[12.8%] #3850: "Jastrow, בַּר"... duplicate
[12.8%] #3850: "Jastrow, בַּר II"... duplicate
[12.8%] #3850: "Jastrow, בַּר III"... duplicate
[12.8%] #3850: "Jastrow, בַּר IV"... duplicate
[12.8%] #3850: "Jastrow, בָּרָא I"... OK (ברא)
[12.8%] #3851: "Jastrow, בָּרָא II"... duplicate
[12.8%] #3851: "Jastrow, בְּרָא II"... duplicate
[12.8%] #3851: "Jastrow, בָּרָאָה"... OK (בראה)
[12.8%] #3852: "Jastrow, בְּרָאִי"... OK (בראי)
[12.8%] #3853: "Jastrow, בְּרֵאשִׁית"... OK (בראשית)
[12.8%] #3854: "Jastrow, ברבוי"... OK (ברבוי)
[12.8%] #3855: "Jastrow, בַּרְבּוּרִים"... OK (ברבורים)
[12.8%] #3856: "Jastrow, בְּרַבִּי"... OK (ברבי)
[12.9%] #3857: "Jastrow, *בַּרְבַּיִי"... OK (ברביי)
[12.9%] #3858: "Jastrow, ברבר"... OK (ברבר)
[12.9%] #3859: "Jastrow, בַּרְבְּרָאָה"... OK (ברבראה)
[12.9%] #3860: "Jastrow, בַּרְבַּרוֹן"... OK (ברברון)
[12.9%] #3861: "Jastrow, בַּרְבָּרִי"... OK (ברברי)
[12.9%] #3862: "Jastrow, בַּרְבְּרַי"... duplicate
[12.9%] #3862: "Jastrow, בַּרְבַּרְיָא"... OK (ברבריא)
[12.9%] #3863: "Jastrow, ברברית"... OK (ברברית)
[12.9%] #3864: "Jastrow, בַּרְגְּזָא"... OK (ברגזא)
[12.9%] #3865: "Jastrow, בָּרָד"... OK (ברד)
[12.9%] #3866: "Jastrow, בַּרְדָּא I"... OK (ברדא)
[12.9%] #3867: "Jastrow, בַּרְדָּא II"... duplicate
[12.9%] #3867: "Jastrow, בַּרְדָּא III"... duplicate
[12.9%] #3867: "Jastrow, בַּרְדִּילָא"... OK (ברדילא)
[12.9%] #3868: "Jastrow, ברדין"... OK (ברדין)
[12.9%] #3869: "Jastrow, ברדינין"... OK (ברדינין)
[12.9%] #3870: "Jastrow, בַּרְדִּיסִין"... OK (ברדיסין)
[12.9%] #3871: "Jastrow, בַּרְדְּלָא"... OK (ברדלא)
[12.9%] #3872: "Jastrow, ברדלה"... OK (ברדלה)
[12.9%] #3873: "Jastrow, בַּרְדְּלָיָא"... OK (ברדליא)
[12.9%] #3874: "Jastrow, בַּרְדְּלִיס"... OK (ברדליס)
[12.9%] #3875: "Jastrow, ברדניקוס"... OK (ברדניקוס)
[12.9%] #3876: "Jastrow, ברדס"... OK (ברדס)
[12.9%] #3877: "Jastrow, בַּרְדְּסִין"... OK (ברדסין)
[12.9%] #3878: "Jastrow, *בַּרְדֵּק"... OK (ברדק)
[12.9%] #3879: "Jastrow, בָּרָה"... OK (ברה)
[12.9%] #3880: "Jastrow, בִּרְוָון"... OK (ברוון)
[12.9%] #3881: "Jastrow, ברובה"... OK (ברובה)
[12.9%] #3882: "Jastrow, *ברווזא"... OK (ברווזא)
[12.9%] #3883: "Jastrow, ברויירא"... OK (ברויירא)
[12.9%] #3884: "Jastrow, *בָּרוּךְ"... OK (ברוך)
[12.9%] #3885: "Jastrow, בְּרוֹכִי"... OK (ברוכי)
[13.0%] #3886: "Jastrow, ברולקי"... OK (ברולקי)
[13.0%] #3887: "Jastrow, בִּרְיָן"... OK (ברין)
[13.0%] #3888: "Jastrow, בְּרוּנָא I"... OK (ברונא)
[13.0%] #3889: "Jastrow, בְּרוּנָא I ²"... duplicate
[13.0%] #3889: "Jastrow, בָּרוֹקָא I"... OK (ברוקא)
[13.0%] #3890: "Jastrow, בָּרוֹקָא II"... duplicate
[13.0%] #3890: "Jastrow, בָּרוֹקָא III"... duplicate
[13.0%] #3890: "Jastrow, *בְּרוּקְלֵי"... OK (ברוקלי)
[13.0%] #3891: "Jastrow, בְּרוּקְתִּי"... OK (ברוקתי)
[13.0%] #3892: "Jastrow, בָּרוּר"... OK (ברור)
[13.0%] #3893: "Jastrow, בֵּרוּר"... duplicate
[13.0%] #3893: "Jastrow, בְּרוֹר"... duplicate
[13.0%] #3893: "Jastrow, בְּרוּרְיָא"... OK (ברוריא)
[13.0%] #3894: "Jastrow, בְּרוֹשׁ"... OK (ברוש)
[13.0%] #3895: "Jastrow, ברושייתא"... OK (ברושייתא)
[13.0%] #3896: "Jastrow, בְּרוֹת"... OK (ברות)
[13.0%] #3897: "Jastrow, בְּרוֹתָא"... OK (ברותא)
[13.0%] #3898: "Jastrow, בָּרוּתָא"... duplicate
[13.0%] #3898: "Jastrow, בְּרַז"... OK (ברז)
[13.0%] #3899: "Jastrow, בִּרְזָא I"... OK (ברזא)
[13.0%] #3900: "Jastrow, בִּרְזָא II"... duplicate
[13.0%] #3900: "Jastrow, בַּרְזֵג"... OK (ברזג)
[13.0%] #3901: "Jastrow, ברזות"... OK (ברזות)
[13.0%] #3902: "Jastrow, בַּרְזֵיל"... OK (ברזיל)
[13.0%] #3903: "Jastrow, ברזילא"... OK (ברזילא)
[13.0%] #3904: "Jastrow, *בַּרְזִילָה"... OK (ברזילה)
[13.0%] #3905: "Jastrow, בַּרְזִינָא"... OK (ברזינא)
[13.0%] #3906: "Jastrow, בִּרְזַיִת"... OK (ברזית)
[13.0%] #3907: "Jastrow, בַּרְזִיתָא"... OK (ברזיתא)
[13.0%] #3908: "Jastrow, בַּרְזֶל"... OK (ברזל)
[13.0%] #3909: "Jastrow, בַּרְזֶל ²"... duplicate
[13.0%] #3909: "Jastrow, בַּרְזָנִיתָא"... OK (ברזניתא)
[13.0%] #3910: "Jastrow, בָּרַח"... OK (ברח)
[13.0%] #3911: "Jastrow, בְּרַח"... duplicate
[13.0%] #3911: "Jastrow, בַּרְחָא"... OK (ברחא)
[13.0%] #3912: "Jastrow, *ברטיא"... OK (ברטיא)
[13.0%] #3913: "Jastrow, בְּרִטַנְיָא"... OK (ברטניא)
[13.0%] #3914: "Jastrow, בֵּרַי"... OK (ברי)
[13.0%] #3915: "Jastrow, ברי I"... duplicate
[13.0%] #3915: "Jastrow, ברי"... duplicate
[13.0%] #3915: "Jastrow, ברי II"... duplicate
[13.0%] #3915: "Jastrow, בָּרִי"... duplicate
[13.0%] #3915: "Jastrow, בְּרִי"... duplicate
[13.0%] #3915: "Jastrow, בָּרְיָא"... OK (בריא)
[13.1%] #3916: "Jastrow, בְּרִיאָה"... OK (בריאה)
  [Saved progress: 3916 entries]
[13.1%] #3917: "Jastrow, בְּרִיאוּת"... OK (בריאות)
[13.1%] #3918: "Jastrow, בְּרִיאוּתָא"... OK (בריאותא)
[13.1%] #3919: "Jastrow, בְּרִיבִּי"... OK (בריבי)
[13.1%] #3920: "Jastrow, בִּרְיָה"... OK (בריה)
[13.1%] #3921: "Jastrow, בָּרָיָה"... duplicate
[13.1%] #3921: "Jastrow, *בריה"... duplicate
[13.1%] #3921: "Jastrow, בִּרְיוֹן"... OK (בריון)
[13.1%] #3922: "Jastrow, בַּרְיוֹנָא"... OK (בריונא)
[13.1%] #3923: "Jastrow, בְּרִיּוּת"... OK (בריות)
[13.1%] #3924: "Jastrow, בַּרְיוּתָא"... OK (בריותא)
[13.1%] #3925: "Jastrow, בְּרֵיז"... OK (בריז)
[13.1%] #3926: "Jastrow, בָּרֵיז"... duplicate
[13.1%] #3926: "Jastrow, בָּרִיחַ"... OK (בריח)
[13.1%] #3927: "Jastrow, בְּרִיחָה"... OK (בריחה)
[13.1%] #3928: "Jastrow, בריחי"... OK (בריחי)
[13.1%] #3929: "Jastrow, בְּרִיטַנְיָא"... OK (בריטניא)
[13.1%] #3930: "Jastrow, בָּרְיָיא"... OK (ברייא)
[13.1%] #3931: "Jastrow, בָּרָיָיא"... duplicate
[13.1%] #3931: "Jastrow, בְּרִיָּיה"... OK (ברייה)
[13.1%] #3932: "Jastrow, בִּרְיָיה"... duplicate
[13.1%] #3932: "Jastrow, בָּרָיָיה"... duplicate
[13.1%] #3932: "Jastrow, בָּרַיְיתָא"... OK (ברייתא)
[13.1%] #3933: "Jastrow, בִּרְיְיתָא"... duplicate
[13.1%] #3933: "Jastrow, בְּרִיכָא"... OK (בריכא)
[13.1%] #3934: "Jastrow, בְּרִיכָה"... OK (בריכה)
[13.1%] #3935: "Jastrow, בְּרֵיכָה"... duplicate
[13.1%] #3935: "Jastrow, *בריכסון"... OK (בריכסון)
[13.1%] #3936: "Jastrow, בְּרֵיכְתָא"... OK (בריכתא)
[13.1%] #3937: "Jastrow, *בָּרִין"... duplicate
[13.1%] #3937: "Jastrow, בְּרֵיק"... OK (בריק)
[13.1%] #3938: "Jastrow, בריקא"... OK (בריקא)
[13.1%] #3939: "Jastrow, בריקשון"... OK (בריקשון)
[13.1%] #3940: "Jastrow, בָּרִיר"... OK (בריר)
[13.1%] #3941: "Jastrow, בְּרִירָה"... OK (ברירה)
[13.1%] #3942: "Jastrow, בְּרֵירָה"... duplicate
[13.1%] #3942: "Jastrow, בָּרִירוּ"... OK (ברירו)
[13.1%] #3943: "Jastrow, בְּרִירוּת"... OK (ברירות)
[13.1%] #3944: "Jastrow, בְּרִירוּתָא"... OK (ברירותא)
[13.1%] #3945: "Jastrow, *בריש"... OK (בריש)
[13.2%] #3946: "Jastrow, בְּרִית"... OK (ברית)
[13.2%] #3947: "Jastrow, בֵּרִית"... duplicate
[13.2%] #3947: "Jastrow, בִּרְיְתָא"... OK (בריתא)
[13.2%] #3948: "Jastrow, בָּרַיְתָא"... duplicate
[13.2%] #3948: "Jastrow, בריתא"... duplicate
[13.2%] #3948: "Jastrow, בָּרַךְ"... OK (ברך)
[13.2%] #3949: "Jastrow, בְּרַךְ"... duplicate
[13.2%] #3949: "Jastrow, בֶּרֶךְ"... duplicate
[13.2%] #3949: "Jastrow, בֶּרֶךְ ²"... duplicate
[13.2%] #3949: "Jastrow, בִּרְכָא"... OK (ברכא)
[13.2%] #3950: "Jastrow, בְּרָכָה"... OK (ברכה)
[13.2%] #3951: "Jastrow, ברכוייד"... OK (ברכוייד)
[13.2%] #3952: "Jastrow, בִּרְכַּיָּיר"... OK (ברכייר)
[13.2%] #3953: "Jastrow, ברכר"... OK (ברכר)
[13.2%] #3954: "Jastrow, בְּרֵכַת"... OK (ברכת)
[13.2%] #3955: "Jastrow, בִּרְכְתָא"... OK (ברכתא)
[13.2%] #3956: "Jastrow, בְּרַכְתָּא"... duplicate
[13.2%] #3956: "Jastrow, בְּרַם"... OK (ברם)
[13.2%] #3957: "Jastrow, *ברמור"... OK (ברמור)
[13.2%] #3958: "Jastrow, *ברנטין"... OK (ברנטין)
[13.2%] #3959: "Jastrow, בַּרְנֵישׁ"... OK (ברניש)
[13.2%] #3960: "Jastrow, ברנקיא"... OK (ברנקיא)
[13.2%] #3961: "Jastrow, בַּרְנֵשׁ"... OK (ברנש)
[13.2%] #3962: "Jastrow, *ברס"... OK (ברס)
[13.2%] #3963: "Jastrow, בִּרְסִין"... OK (ברסין)
[13.2%] #3964: "Jastrow, *בַּרְסָם"... OK (ברסם)
[13.2%] #3965: "Jastrow, ברסנה"... OK (ברסנה)
[13.2%] #3966: "Jastrow, בָּרַץ"... OK (ברץ)
[13.2%] #3967: "Jastrow, בְּרַץ"... duplicate
[13.2%] #3967: "Jastrow, בַּרְצוּץ"... OK (ברצוץ)
[13.2%] #3968: "Jastrow, בַּרְצִיתָא"... OK (ברציתא)
[13.2%] #3969: "Jastrow, בָּרַק"... OK (ברק)
[13.2%] #3970: "Jastrow, בְּרַק I"... duplicate
[13.2%] #3970: "Jastrow, בָּרָק"... duplicate
[13.2%] #3970: "Jastrow, בְּרַק II"... duplicate
[13.2%] #3970: "Jastrow, בְּרַק III"... duplicate
[13.2%] #3970: "Jastrow, בַּרְקָא II"... OK (ברקא)
[13.2%] #3971: "Jastrow, *בַּרְקָא III"... duplicate
[13.2%] #3971: "Jastrow, בַּרְקַאי I"... OK (ברקאי)
[13.2%] #3972: "Jastrow, בַּרְקַאי II"... duplicate
[13.2%] #3972: "Jastrow, ברקום"... OK (ברקום)
[13.2%] #3973: "Jastrow, בַּרְקוּרְיָאנִי"... OK (ברקוריאני)
[13.2%] #3974: "Jastrow, בַּרְקוּת"... OK (ברקות)
[13.2%] #3975: "Jastrow, בְּרַקִּין"... OK (ברקין)
[13.3%] #3976: "Jastrow, בַּרְקִירְיָא"... OK (ברקיריא)
[13.3%] #3977: "Jastrow, בַּרְקִית"... OK (ברקית)
[13.3%] #3978: "Jastrow, בַּרְקָן"... OK (ברקן)
[13.3%] #3979: "Jastrow, בַּרְקָנַיָּא"... OK (ברקניא)
[13.3%] #3980: "Jastrow, בַּרְקָנִים"... OK (ברקנים)
[13.3%] #3981: "Jastrow, בָּרֶקֶת"... OK (ברקת)
[13.3%] #3982: "Jastrow, בַּרְקָתָא"... OK (ברקתא)
[13.3%] #3983: "Jastrow, בַּרְקָתָא ²"... duplicate
[13.3%] #3983: "Jastrow, בְּרַקְתִּי"... OK (ברקתי)
[13.3%] #3984: "Jastrow, בָּרַר"... OK (ברר)
[13.3%] #3985: "Jastrow, בְּרַר"... duplicate
[13.3%] #3985: "Jastrow, בְּרָרָא"... OK (בררא)
[13.3%] #3986: "Jastrow, *ברשאן"... OK (ברשאן)
[13.3%] #3987: "Jastrow, בְּרַת I"... OK (ברת)
[13.3%] #3988: "Jastrow, בְּרַת II"... duplicate
[13.3%] #3988: "Jastrow, בְּרַתָּא"... OK (ברתא)
[13.3%] #3989: "Jastrow, בְּרָתָא"... duplicate
  [Saved progress: 3988 entries]
[13.3%] #3989: "Jastrow, בַּרְתּוֹתָא"... OK (ברתותא)
[13.3%] #3990: "Jastrow, בְּרָתֵי"... OK (ברתי)
[13.3%] #3991: "Jastrow, ברתצין"... OK (ברתצין)
[13.3%] #3992: "Jastrow, *בשא"... OK (בשא)
[13.3%] #3993: "Jastrow, בִּשּׁוּל"... OK (בשול)
[13.3%] #3994: "Jastrow, בִּשּׁוּלָא"... OK (בשולא)
[13.3%] #3995: "Jastrow, בָּשׂוּם"... OK (בשום)
[13.3%] #3996: "Jastrow, בשומין"... OK (בשומין)
[13.3%] #3997: "Jastrow, בְּשׂוֹרָא"... OK (בשורא)
[13.3%] #3998: "Jastrow, בְּשׂוֹרָה"... OK (בשורה)
[13.3%] #3999: "Jastrow, בְּשׂוֹרְתָּא"... OK (בשורתא)
[13.3%] #4000: "Jastrow, *בְּשַׁט"... OK (בשט)
[13.3%] #4001: "Jastrow, *בִּשְׁטוּתָא"... OK (בשטותא)
[13.3%] #4002: "Jastrow, בְּשִׁיל"... OK (בשיל)
[13.3%] #4003: "Jastrow, בְּשִׂירוּתָא"... OK (בשירותא)
[13.3%] #4004: "Jastrow, *בַּשְׁכַּר"... OK (בשכר)
[13.3%] #4005: "Jastrow, בָּשַׁל"... OK (בשל)
[13.4%] #4006: "Jastrow, בְּשַׁל"... duplicate
[13.4%] #4006: "Jastrow, בָּשֵׁל"... duplicate
[13.4%] #4006: "Jastrow, בַּשְׁלָא"... OK (בשלא)
[13.4%] #4007: "Jastrow, בַּשָּׁלָא"... duplicate
[13.4%] #4007: "Jastrow, בִּשְׁלָמָא"... OK (בשלמא)
[13.4%] #4008: "Jastrow, בָּשַׂם"... OK (בשם)
[13.4%] #4009: "Jastrow, בֹּשֶׂם"... duplicate
[13.4%] #4009: "Jastrow, *בַּשְׁקַר"... OK (בשקר)
[13.4%] #4010: "Jastrow, בָּשַׂר"... OK (בשר)
[13.4%] #4011: "Jastrow, בְּשַׂר"... duplicate
[13.4%] #4011: "Jastrow, בְּשַׂר ²"... duplicate
[13.4%] #4011: "Jastrow, בָּשָׂר"... duplicate
[13.4%] #4011: "Jastrow, בִּשְׂרָא"... OK (בשרא)
[13.4%] #4012: "Jastrow, בִּשְׂרָא ²"... duplicate
[13.4%] #4012: "Jastrow, *בִּשְׂרוּתָה"... OK (בשרותה)
[13.4%] #4013: "Jastrow, בְּשַׁשׁ"... OK (בשש)
[13.4%] #4014: "Jastrow, בּשֶׁת"... OK (בשת)
[13.4%] #4015: "Jastrow, בַּת I"... OK (בת)
[13.4%] #4016: "Jastrow, בַּת II"... duplicate
[13.4%] #4016: "Jastrow, בַּת III"... duplicate
[13.4%] #4016: "Jastrow, *בָּתָה"... OK (בתה)
[13.4%] #4017: "Jastrow, *בַּתְוָא"... OK (בתוא)
[13.4%] #4018: "Jastrow, בְּתוּלָא"... OK (בתולא)
[13.4%] #4019: "Jastrow, בְּתוּלָה"... OK (בתולה)
[13.4%] #4020: "Jastrow, בְּתוּלִים"... OK (בתולים)
[13.4%] #4021: "Jastrow, בְּתוּלִין"... OK (בתולין)
[13.4%] #4022: "Jastrow, בְּתוּלְתָּא I"... OK (בתולתא)
[13.4%] #4023: "Jastrow, בְּתוּלְתָּא II"... duplicate
[13.4%] #4023: "Jastrow, בִּתְיָה"... OK (בתיה)
[13.4%] #4024: "Jastrow, בְּתֵירָא"... OK (בתירא)
[13.4%] #4025: "Jastrow, בָּתְנַיָּיא"... OK (בתנייא)
[13.4%] #4026: "Jastrow, בֶּתֶר"... OK (בתר)
[13.4%] #4027: "Jastrow, בָּתַר"... duplicate
[13.4%] #4027: "Jastrow, בַּתְרָא"... OK (בתרא)
[13.4%] #4028: "Jastrow, בְּתֵרָה"... OK (בתרה)
[13.4%] #4029: "Jastrow, בְּתָרַיָּיא"... OK (בתרייא)
[13.4%] #4030: "Jastrow, בְּתָרִים"... OK (בתרים)
[13.4%] #4031: "Jastrow, *בְּתַשׁ"... OK (בתש)
[13.4%] #4032: "Jastrow, *בתת"... OK (בתת)
[13.4%] #4033: "Jastrow, ג"... OK (ג)
[13.4%] #4034: "Jastrow, ג ²"... duplicate
[13.4%] #4034: "Jastrow, ג׳"... duplicate
[13.4%] #4034: "Jastrow, גְּאָא"... OK (גאא)
[13.4%] #4035: "Jastrow, גָּאָה"... OK (גאה)
[13.5%] #4036: "Jastrow, גֵּאֶה"... duplicate
[13.5%] #4036: "Jastrow, גֵּאו"... OK (גאו)
[13.5%] #4037: "Jastrow, גַּאֲוָה"... OK (גאוה)
[13.5%] #4038: "Jastrow, גַאוָזָא"... OK (גאוזא)
[13.5%] #4039: "Jastrow, גְּאוּלָּה"... OK (גאולה)
